Row ID;Kind;Start Time;End Time;Text;Eliminate;Eliminate Reason;Repeat Group;Repeat Role;Reference Segment;Match %;Status;Anchor ID;Notes
21;speech;00:00:43:05;00:00:46:00;C'est fou, vrai, incroyable.;;;;;c’est fou,vrai, incroyable.;100.0%;MATCH;;file_lang=fr | file_script=latin | match_width=2 | ref_cover=0.04 | ref_noise=0.00 | ref_span=11-12 | ref_support=1.00 | row_lang=fr | row_script=latin | segment_source=words | usable_cover=1.00 | usable_noise=0.00 | usable_support=1.00 | word_range=105-108
22;silence;00:00:46:00;00:00:47:09;;x;SILENCE;;;;;SILENCE;;segment_source=words
23;speech;00:00:47:09;00:00:48:06;Abonnez-vous à la chaîne;x;BAD_TAKE_PRE_REPEAT;REP002;PRE_REPEAT;;;PRE_REPEAT_ELIMINATED;;file_lang=fr | file_script=latin | ref_cover=0.04 | ref_noise=0.00 | ref_support=1.00 | repeat_core=abonnez vous a la chaine | repeat_selected_ref_span=13-14 | repeat_suffix_size=1 | row_lang=fr | row_script=latin | segment_source=words | word_range=109-112
24;silence;00:00:48:06;00:00:50:12;;x;SILENCE;;;;;SILENCE;;segment_source=words
25;speech;00:00:50:12;00:00:51:16;Abonnez-vous à la chaîne;x;BAD_TAKE_PRE_REPEAT;REP002;PRE_REPEAT;;;PRE_REPEAT_ELIMINATED;;file_lang=fr | file_script=latin | ref_cover=0.04 | ref_noise=0.00 | ref_support=1.00 | repeat_core=abonnez vous a la chaine | repeat_selected_ref_span=13-14 | repeat_suffix_size=1 | row_lang=fr | row_script=latin | segment_source=words | word_range=113-116
26;silence;00:00:51:16;00:00:52:15;;x;SILENCE;;;;;SILENCE;;segment_source=words
27;speech;00:00:52:15;00:00:54:10;Abonnez-vous à la chaîne !;x;BAD_TAKE_PRE_REPEAT;REP002;PRE_REPEAT;;;PRE_REPEAT_ELIMINATED;;file_lang=fr | file_script=latin | ref_cover=0.04 | ref_noise=0.00 | ref_support=1.00 | repeat_core=abonnez vous a la chaine | repeat_selected_ref_span=13-14 | repeat_suffix_size=1 | row_lang=fr | row_script=latin | segment_source=words | word_range=117-120
28;silence;00:00:54:10;00:00:55:14;;x;SILENCE;;;;;SILENCE;;segment_source=words
29;speech;00:00:55:14;00:00:58:19;Abonnez-vous à la chaîne, faites-nous un don sur Tipeee;;;REP002;LAST_TAKE;Abonnez vous à la chaine. Faite nous un don sur tipee.;72.3%;TRANSPOSED_MATCH;;file_lang=fr | file_script=latin | match_width=2 | ref_cover=0.07 | ref_noise=0.18 | ref_span=13-14 | ref_support=0.82 | repeat_core=abonnez vous a la chaine | repeat_selected_ref_span=13-14 | repeat_suffix_size=1 | row_lang=fr | row_script=latin | segment_source=words | usable_cover=0.82 | usable_noise=0.10 | usable_support=0.90 | word_range=121-129
30;silence;00:00:58:19;00:00:59:12;;x;SILENCE;;;;;SILENCE;;segment_source=words
31;speech;00:00:59:12;00:01:01:10;Et puis allez voir notre page Twitter.;;;;;Et puis allez voir notre page twitter.;100.0%;MATCH;;file_lang=fr | file_script=latin | match_width=1 | ref_cover=0.05 | ref_noise=0.00 | ref_span=15-15 | ref_support=1.00 | row_lang=fr | row_script=latin | segment_source=words | usable_cover=1.00 | usable_noise=0.00 | usable_support=1.00 | word_range=130-136
32;silence;00:01:01:10;00:01:02:17;;x;SILENCE;;;;;SILENCE;;segment_source=words
33;speech;00:01:02:17;00:01:03:12;Et enfin...;x;NO_REFERENCE_COVERED;;;;;ELIMINATE_NO_REFERENCE_COVERED;;file_lang=fr | file_script=latin | ref_cover=0.01 | ref_noise=0.50 | ref_support=0.50 | ref_window=covered | row_lang=fr | row_script=latin | segment_source=words | word_range=137-138
34;silence;00:01:03:12;00:01:04:19;;x;SILENCE;;;;;SILENCE;;segment_source=words
35;speech;00:01:04:19;00:01:07:01;Et rendez-vous sur NicolasKage.com;;;;;et rendez vous sur nicolas-cage. com.;75.6%;MATCH;;file_lang=fr | file_script=latin | match_width=2 | ref_cover=0.04 | ref_noise=0.17 | ref_span=16-17 | ref_support=0.83 | row_lang=fr | row_script=latin | segment_source=words | usable_cover=0.71 | usable_noise=0.17 | usable_support=0.83 | word_range=139-142
36;silence;00:01:07:01;00:01:10:06;;x;SILENCE;;;;;SILENCE;;segment_source=words
37;speech;00:01:10:06;00:01:13:02;C'est tout ? Oui, c'est tout ce que j'avais à dire.;x;NO_REFERENCE_COVERED;;;;;ELIMINATE_NO_REFERENCE_COVERED;;file_lang=fr | file_script=latin | ref_cover=0.03 | ref_noise=0.69 | ref_support=0.31 | ref_window=covered | row_lang=fr | row_script=latin | segment_source=words | word_range=143-152
38;silence;00:01:13:02;00:01:14:09;;x;SILENCE;;;;;SILENCE;;segment_source=words
39;speech;00:01:14:09;00:01:15:18;C'est une très bonne journée.;x;BAD_TAKE_PRE_REPEAT;REP003;PRE_REPEAT;;;PRE_REPEAT_ELIMINATED;;file_lang=fr | file_script=latin | ref_cover=0.04 | ref_noise=0.17 | ref_support=0.83 | repeat_core=c est une tres bonne journee | repeat_selected_ref_span=18-18 | repeat_suffix_size=1 | row_lang=fr | row_script=latin | segment_source=words | word_range=153-157
40;silence;00:01:15:18;00:01:16:18;;x;SILENCE;;;;;SILENCE;;segment_source=words
41;speech;00:01:16:18;00:01:17:17;Passez une bonne journée.;;;;;Passe une bonne journée;82.1%;MATCH;;file_lang=fr | file_script=latin | match_width=1 | ref_cover=0.02 | ref_noise=0.25 | ref_span=18-18 | ref_support=0.75 | row_lang=fr | row_script=latin | segment_source=words | usable_cover=0.75 | usable_noise=0.00 | usable_support=1.00 | usable_word_range=159-161 | word_range=158-161
42;silence;00:01:17:17;00:01:20:06;;x;SILENCE;;;;;SILENCE;;segment_source=words
43;speech;00:01:20:06;00:01:21:03;C'est une très bonne journée.;x;NO_REFERENCE_COVERED;REP003;LAST_TAKE;;;ELIMINATE_NO_REFERENCE_COVERED;;file_lang=fr | file_script=latin | ref_cover=0.04 | ref_noise=0.17 | ref_support=0.83 | ref_window=covered | repeat_core=c est une tres bonne journee | repeat_selected_ref_span=18-18 | repeat_suffix_size=1 | row_lang=fr | row_script=latin | segment_source=words | word_range=162-166
44;silence;00:01:21:03;00:01:22:14;;x;SILENCE;;;;;SILENCE;;segment_source=words
45;speech;00:01:22:14;00:01:23:18;Thank you.;x;NO_REFERENCE_COVERED;;;;;ELIMINATE_NO_REFERENCE_COVERED;;file_lang=fr | file_script=latin | ref_cover=0.00 | ref_noise=1.00 | ref_support=0.00 | ref_window=covered | row_lang=fr | row_script=latin | segment_source=words | word_range=167-168
